Time,Toy Soldier Parachute Drop,Frozen Ever After - Presented by Blue Cross,Big Grizzly Mountain Runaway Mine Cars,Wandering Oaken's Sliding Sleighs,RC Racer,Iron Man Experience - Presented by AIA,Mystic Manor,Hyperspace Mountain
10:00,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:01,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:02,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:03,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:04,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:05,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:06,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:07,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:08,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:09,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:10,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:11,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:12,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:13,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:14,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:15,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:16,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:17,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:18,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:19,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:20,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:21,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:22,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:23,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:24,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:25,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:26,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:27,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:28,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:29,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:30,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:31,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:32,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:33,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:34,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:35,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:36,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:37,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:38,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:39,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:40,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:41,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:42,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:43,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:44,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:45,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:46,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:47,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:48,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:49,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:50,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:51,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:52,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:53,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:54,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:55,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:56,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:57,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:58,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
10:59,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:00,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:01,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:02,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:03,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:04,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:05,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:06,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:07,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:08,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:09,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:10,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:11,10.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0
11:12,10.0,5.0,10.0,0.0,10.0,5.0,5.0,5.0
11:13,10.0,5.0,10.0,0.0,10.0,5.0,5.0,5.0
11:14,10.0,5.0,15.0,0.0,10.0,5.0,5.0,5.0
11:15,10.0,5.0,15.0,0.0,10.0,5.0,5.0,5.0
11:16,10.0,5.0,20.0,0.0,10.0,5.0,5.0,5.0
11:17,10.0,5.0,20.0,0.0,10.0,5.0,5.0,5.0
11:18,10.0,5.0,20.0,5.0,10.0,5.0,5.0,5.0
11:19,10.0,5.0,20.0,5.0,10.0,5.0,5.0,5.0
11:20,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:21,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:22,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:23,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:24,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:25,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:26,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:27,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:28,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:29,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:30,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:31,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:32,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:33,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:34,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:35,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:36,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:37,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:38,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:39,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:40,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:41,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:42,10.0,5.0,20.0,10.0,10.0,5.0,5.0,5.0
11:43,10.0,5.0,20.0,10.0,10.0,5.0,10.0,5.0
11:44,10.0,5.0,20.0,10.0,10.0,5.0,10.0,5.0
11:45,10.0,5.0,20.0,10.0,10.0,5.0,10.0,5.0
11:46,15.0,5.0,20.0,10.0,10.0,5.0,10.0,5.0
11:47,15.0,5.0,20.0,10.0,10.0,5.0,10.0,5.0
11:48,20.0,5.0,20.0,10.0,10.0,5.0,10.0,5.0
11:49,25.0,5.0,20.0,10.0,10.0,5.0,15.0,5.0
11:50,25.0,5.0,20.0,10.0,10.0,5.0,15.0,5.0
